Field1,Field2,Field3,Field4,Field5,Field6
16,-56.40251964,46.87966066,0.442228856,0.011799672,2020-09-06
16,-56.27128904,46.8789005,0.442228856,0.011799672,2020-09-06
16,-56.2725044,46.78891749,0.442228856,0.011799672,2020-09-06
16,-56.40351616,46.78967528,0.442228856,0.011799672,2020-09-06
17,-56.2725044,46.78891749,0.442219768,0.011799169,2020-09-06
17,-56.27128904,46.8789005,0.442219768,0.011799169,2020-09-06
17,-56.1400643,46.87798992,0.442219768,0.011799169,2020-09-06
17,-56.14149846,46.78800976,0.442219768,0.011799169,2020-09-06
17,-56.2725044,46.78891749,0.442219768,0.011799169,2020-09-06
18,-56.14149846,46.78800976,0.442209043,0.011798576,2020-09-06
18,-56.1400643,46.87798992,0.442209043,0.011798576,2020-09-06
18,-56.00884649,46.87692894,0.442209043,0.011798576,2020-09-06
18,-56.01049941,46.78695209,0.442209043,0.011798576,2020-09-06
18,-56.14149846,46.78800976,0.442209043,0.011798576,2020-09-06
19,-56.01049941,46.78695209,0.442196684,0.011797892,2020-09-06
19,-56.00884649,46.87692894,0.442196684,0.011797892,2020-09-06
19,-55.87763665,46.87571759,0.442196684,0.011797892,2020-09-06
19,-55.87950828,46.78574452,0.442196684,0.011797892,2020-09-06
19,-56.01049941,46.78695209,0.442196684,0.011797892,2020-09-06
20,-55.87950828,46.78574452,0.442182684,0.011797117,2020-09-06
20,-55.87763665,46.87571759,0.442182684,0.011797117,2020-09-06
20,-55.74643585,46.87435589,0.442182684,0.011797117,2020-09-06
20,-55.74852613,46.78438707,0.442182684,0.011797117,2020-09-06
20,-55.87950828,46.78574452,0.442182684,0.011797117,2020-09-06
21,-55.74852613,46.78438707,0.442167051,0.011796252,2020-09-06
21,-55.74643585,46.87435589,0.442167051,0.011796252,2020-09-06
21,-55.61524512,46.87284386,0.442167051,0.011796252,2020-09-06
21,-55.617554,46.78287976,0.442167051,0.011796252,2020-09-06
21,-55.74852613,46.78438707,0.442167051,0.011796252,2020-09-06
22,-54.30861423,46.75957299,0.441887163,0.011780777,2019-09-19
22,-54.30412411,46.84946416,0.441887163,0.011780777,2019-09-19
22,-54.17311373,46.8463013,0.441887163,0.011780777,2019-09-19
22,-54.17782136,46.75642,0.441887163,0.011780777,2019-09-19
22,-54.30861423,46.75957299,0.441887163,0.011780777,2019-09-19
23,-54.17782136,46.75642,0.441851916,0.01177883,2019-09-19
23,-54.17311373,46.8463013,0.441851916,0.01177883,2019-09-19
23,-54.04212603,46.8429887,0.441851916,0.01177883,2019-09-19
23,-54.04705104,46.75311772,0.441851916,0.01177883,2019-09-19
23,-54.17782136,46.75642,0.441851916,0.01177883,2019-09-19
24,-54.04705104,46.75311772,0.441815039,0.011776793,2019-09-19
24,-54.04212603,46.8429887,0.441815039,0.011776793,2019-09-19
24,-53.91116205,46.83952641,0.441815039,0.011776793,2019-09-19
24,-53.9163043,46.74966623,0.441815039,0.011776793,2019-09-19
24,-54.04705104,46.75311772,0.441815039,0.011776793,2019-09-19
25,-53.78558219,46.74606559,0.441736388,0.011772451,2019-09-19
25,-53.78022284,46.83591452,0.441736388,0.011772451,2019-09-19
25,-53.64930945,46.83215309,0.441736388,0.011772451,2019-09-19
25,-53.65488572,46.74231589,0.441736388,0.011772451,2019-09-19
25,-53.78558219,46.74606559,0.441736388,0.011772451,2019-09-19
26,-53.65488572,46.74231589,0.441694615,0.011770145,2019-09-19
26,-53.64930945,46.83215309,0.441694615,0.011770145,2019-09-19
26,-53.5184229,46.82824221,0.441694615,0.011770145,2019-09-19
26,-53.52421595,46.73841719,0.441694615,0.011770145,2019-09-19
26,-53.65488572,46.74231589,0.441694615,0.011770145,2019-09-19
27,-53.39357389,46.73436958,0.441606183,0.011765266,2019-09-19
27,-53.38756424,46.82418194,0.441606183,0.011765266,2019-09-19
27,-53.2567345,46.81997239,0.441606183,0.011765266,2019-09-19
27,-53.26296059,46.73017313,0.441606183,0.011765266,2019-09-19
27,-53.39357389,46.73436958,0.441606183,0.011765266,2019-09-19
28,-53.13237707,46.72582794,0.441511235,0.011760029,2019-09-19
28,-53.12593473,46.81561362,0.441511235,0.011760029,2019-09-19
28,-52.99516594,46.81110574,0.441511235,0.011760029,2019-09-19
28,-53.00182436,46.72133409,0.441511235,0.011760029,2019-09-19
28,-53.13237707,46.72582794,0.441511235,0.011760029,2019-09-19
29,-53.00182436,46.72133409,0.441461319,0.011757278,2019-09-19
29,-52.99516594,46.81110574,0.441461319,0.011757278,2019-09-19
29,-52.86442919,46.80644882,0.441461319,0.011757278,2019-09-19
29,-52.87130348,46.71669168,0.441461319,0.011757278,2019-09-19
29,-53.00182436,46.72133409,0.441461319,0.011757278,2019-09-19
30,-56.53375505,46.88027038,0.442672325,0.011819643,2020-09-06
30,-56.53297363,46.97025623,0.442672325,0.011819643,2020-09-06
30,-56.40151831,46.96964459,0.442672325,0.011819643,2020-09-06
30,-56.40251964,46.87966066,0.442672325,0.011819643,2020-09-06
30,-56.53375505,46.88027038,0.442672325,0.011819643,2020-09-06
31,-56.40251964,46.87966066,0.442664854,0.011819229,2020-09-06
31,-56.40151831,46.96964459,0.442664854,0.011819229,2020-09-06
